,user_id,lgb
49,65,"[12330856, 12330794, 961889, 834103, 9483753]"
50,67,"[998621, 1069039, 1139782, 7409548, 1139651]"
51,68,"[1085604, 1037894, 883404, 921614, 1131974]"
52,69,"[1044188, 1019497, 5570109, 845163, 901976]"
53,70,"[1075368, 844165, 1079528, 844179, 1130375]"
54,71,"[10149656, 7433888, 926905, 882308, 973135]"
55,72,"[991874, 938596, 8019681, 1073775, 12695977]"
57,74,"[1058021, 862732, 914754, 1015974, 898601]"
58,75,"[1126899, 1058997, 995242, 862349, 908531]"
59,76,"[854754, 862987, 1058997, 7024830, 992985]"
60,77,"[6979128, 861021, 1055425, 849578, 955921]"
61,78,"[9420312, 995055, 1039627, 5591154, 8205218]"
62,79,"[1103513, 944167, 1010164, 864741, 1087411]"
63,80,"[828331, 884145, 1038462, 1048315, 1077439]"
64,81,"[898847, 988136, 845193, 995230, 1015296]"
65,82,"[1084036, 847573, 874972, 849202, 910473]"
66,83,"[906658, 12692332, 980984, 905998, 912807]"
67,84,"[903529, 920025, 984283, 901061, 846482]"
68,85,"[839094, 1139782, 864312, 923208, 983936]"
69,86,"[1135195, 820301, 899201, 865026, 5569376]"
70,87,"[1079528, 881883, 9670915, 958137, 6391089]"
71,88,"[992985, 12949590, 965982, 888104, 9526672]"
74,91,"[838637, 5569098, 910151, 1000148, 911088]"
75,92,"[987838, 911409, 926065, 895268, 877447]"
76,94,"[1055504, 981760, 1096317, 1134398, 1002178]"
77,95,"[1138858, 870929, 945652, 849018, 1088771]"
78,97,"[6463752, 1075368, 1114765, 835618, 880888]"
79,98,"[1091858, 1018278, 847241, 1095040, 9333437]"
80,99,"[824073, 916487, 992151, 883404, 6034953]"
81,101,"[1079820, 1119089, 1090931, 1119112, 1028012]"
82,103,"[961846, 1089766, 1076875, 1011832, 1058272]"
83,104,"[1002261, 996156, 930955, 1011300, 1101502]"
84,105,"[1135868, 1041984, 919596, 901543, 889649]"
85,106,"[906844, 910473, 1116050, 894439, 993466]"
86,108,"[15596834, 1066893, 6533368, 896611, 1021225]"
87,109,"[1135886, 8019954, 1106601, 862682, 902659]"
88,110,"[10204440, 845677, 827683, 1074738, 896757]"
89,111,"[932179, 9677874, 9837076, 5995626, 826842]"
90,112,"[1011300, 1029983, 1058272, 1029504, 924014]"
91,113,"[947427, 947201, 1018339, 7410348, 962970]"
92,114,"[5568489, 7025203, 8249227, 1017739, 999581]"
93,115,"[12648296, 7154535, 5567428, 912280, 6034569]"
94,116,"[976199, 1104343, 1019637, 995242, 821083]"
95,117,"[852235, 866528, 10285106, 928589, 852360]"
96,118,"[935968, 1083043, 1041984, 881260, 897409]"
97,119,"[5581464, 5565664, 920002, 1045790, 1096548]"
99,121,"[839162, 5563934, 1065979, 12782181, 933822]"
100,122,"[1116635, 1086119, 6463717, 6464147, 7169088]"
101,123,"[1048750, 1110983, 1031864, 1019247, 7025114]"
102,124,"[1037840, 947798, 957951, 945805, 1139960]"
103,125,"[1057749, 1095710, 890689, 1006922, 6463907]"
104,127,"[13842214, 1025326, 865357, 901543, 926033]"
105,128,"[12263857, 9420337, 883963, 1015296, 886317]"
106,131,"[1099802, 997725, 920455, 823098, 1407216]"
107,132,"[843659, 15926507, 870428, 878715, 1038174]"
108,133,"[5590661, 12263857, 999599, 13654702, 1033062]"
109,135,"[852360, 13654702, 1048750, 899682, 854754]"
110,136,"[1089766, 865511, 1038462, 6463986, 906026]"
111,138,"[1009361, 1069306, 1006906, 970158, 913046]"
112,139,"[1050741, 1111493, 1134006, 1005898, 1032512]"
113,142,"[1082212, 1093966, 1013826, 997011, 957420]"
114,143,"[1020156, 12731714, 869728, 878676, 13842088]"
115,144,"[1008626, 928589, 901976, 930283, 842423]"
116,145,"[1057749, 9858794, 6919433, 1079223, 975588]"
117,147,"[877447, 987410, 1082172, 844759, 1094619]"
118,148,"[1003487, 835058, 6442908, 5568489, 972726]"
119,149,"[6533936, 873044, 1112333, 1093334, 841584]"
120,151,"[1028473, 917249, 1133191, 956200, 1111292]"
121,152,"[1037332, 882308, 852235, 6978886, 993441]"
122,153,"[1006063, 6979220, 12984227, 1091644, 951221]"
124,155,"[1079528, 827671, 908145, 843558, 6919082]"
125,156,"[861445, 849843, 984680, 919828, 1082269]"
126,157,"[919589, 9296804, 12524174, 9420181, 945652]"
127,158,"[1025641, 12731714, 977543, 997423, 1021519]"
128,159,"[8205218, 963517, 978129, 853124, 13115525]"
129,160,"[5580525, 833598, 1079878, 6772782, 7442098]"
130,161,"[868764, 9677202, 935527, 12352054, 13115667]"
131,162,"[902856, 10456575, 875396, 1031906, 1022428]"
133,164,"[970605, 13007352, 896803, 6391289, 839605]"
134,165,"[902846, 8090556, 1028238, 1112205, 5568072]"
135,166,"[1075368, 880888, 1052294, 944486, 935570]"
136,167,"[6391163, 9297151, 15596834, 15452641, 1006063]"
137,171,"[834103, 987724, 1016800, 907392, 1109805]"
138,172,"[891632, 1048746, 906838, 1048750, 1118046]"
139,175,"[994685, 1103317, 921614, 1006188, 1010164]"
140,177,"[1033814, 1121213, 1059236, 8203451, 1093658]"
141,178,"[963686, 827656, 1085604, 972312, 1116376]"
142,180,"[830503, 1013928, 883819, 1077600, 5592610]"
143,182,"[1083787, 898466, 9835606, 903191, 888111]"
144,183,"[823862, 1036753, 1006188, 1013291, 1081853]"
145,184,"[896085, 907957, 6632986, 6534229, 1108776]"
146,185,"[870428, 1065122, 1127825, 8019977, 1068830]"
147,188,"[6704207, 941183, 1096066, 868972, 868909]"
148,189,"[13841744, 996156, 833598, 9707498, 1135868]"
149,191,"[13842088, 929341, 971159, 897953, 1060543]"
150,192,"[854373, 1082212, 7409790, 884756, 1013597]"
151,193,"[1125199, 1104205, 854270, 6704207, 5565322]"
152,194,"[987838, 6391381, 1041259, 9803819, 1053403]"
153,195,"[13008334, 1131382, 7167836, 5570406, 7166756]"
154,196,"[1102456, 929726, 6464126, 926905, 1108488]"
155,197,"[909915, 963835, 868588, 1002591, 1036501]"
156,198,"[937110, 837720, 1117121, 9677874, 1118946]"
157,199,"[1082212, 1135195, 1098694, 889731, 991951]"
158,200,"[1138189, 1031083, 1089766, 928263, 985234]"
159,201,"[1138292, 1103476, 1066893, 972665, 5567502]"
160,203,"[1082990, 9523058, 13910669, 43020, 1023546]"
161,204,"[923670, 938118, 982955, 1131892, 926033]"
162,205,"[819840, 923751, 895268, 1100124, 1115577]"
164,207,"[1133893, 6979049, 895680, 877498, 862876]"
165,208,"[1064443, 12352293, 879504, 907308, 828278]"
166,209,"[10457128, 1080472, 824073, 1130720, 1051071]"
167,210,"[910473, 1034134, 853235, 1109805, 978354]"
168,211,"[862732, 907099, 841266, 998424, 1006878]"
169,212,"[888054, 8090560, 5568758, 870372, 981591]"
170,214,"[1010590, 13213453, 6979526, 5566674, 1027372]"
171,215,"[1112333, 14025461, 6391089, 1016298, 6391080]"
172,216,"[6533936, 874832, 908217, 974204, 984715]"
173,217,"[1090286, 1068576, 7441668, 1053403, 1126045]"
174,218,"[13842088, 1097001, 13842160, 5589662, 878715]"
175,219,"[916758, 1010578, 1137507, 6533681, 1061203]"
176,220,"[918046, 10204440, 852360, 955403, 1129205]"
177,221,"[6424464, 6424460, 888004, 1116138, 910309]"
178,222,"[999779, 1071759, 856335, 1083856, 1094190]"
179,223,"[873324, 1036661, 6904613, 1018822, 987218]"
180,224,"[850925, 1056267, 837107, 1031740, 15926927]"
181,225,"[1043663, 839152, 1119089, 1121656, 1125123]"
182,226,"[820612, 891505, 893851, 844166, 1102416]"
183,227,"[845193, 898601, 871722, 864658, 1011427]"
184,228,"[917033, 1139782, 874753, 1042702, 5569135]"
185,230,"[964813, 941183, 1107553, 5572828, 1053058]"
186,232,"[1049922, 1041531, 1101449, 1016800, 996750]"
187,233,"[1122568, 1131488, 15926927, 1053690, 862535]"
188,235,"[862732, 1123434, 1128464, 820011, 860317]"
189,236,"[5565840, 1010190, 1050038, 1091090, 827631]"
191,238,"[1102416, 864137, 839208, 868764, 965009]"
192,239,"[976864, 910439, 851508, 1065496, 1108168]"
194,242,"[853643, 978343, 939681, 862732, 1000236]"
195,243,"[906017, 9524511, 1135044, 7143963, 9483753]"
196,244,"[9268043, 908283, 6533681, 948232, 1089108]"
197,245,"[12731517, 972416, 1089066, 935968, 950894]"
198,246,"[911470, 1015974, 819304, 908217, 1070276]"
199,247,"[1134292, 878445, 901976, 958564, 1112754]"
200,248,"[862732, 915064, 13417846, 9655242, 1129205]"
201,249,"[930838, 947316, 15926927, 1058021, 998679]"
202,250,"[844165, 1076875, 923967, 923169, 1097239]"
203,251,"[932503, 1038462, 953320, 1002832, 1053058]"
204,253,"[12731544, 1020739, 873577, 965693, 992985]"
205,254,"[859237, 862535, 1122568, 1054262, 1014948]"
206,255,"[847344, 938139, 1082212, 1050038, 882496]"
207,256,"[1111786, 1006250, 1002178, 9655242, 1060193]"
208,257,"[1093413, 10204440, 911622, 6396492, 918046]"
209,258,"[935968, 831559, 9420312, 824796, 1078666]"
210,259,"[6391381, 822259, 881154, 1091090, 1075007]"
211,260,"[921836, 880427, 848071, 919427, 1019643]"
213,262,"[1124971, 1008814, 849843, 858999, 999971]"
214,263,"[855138, 937928, 1117358, 864312, 831063]"
215,267,"[929373, 901976, 1126899, 1075368, 1011457]"
216,269,"[1139782, 907957, 12731467, 7409644, 965530]"
217,271,"[861445, 921504, 819978, 904997, 1137775]"
218,273,"[1069538, 1043663, 6979579, 856818, 1030455]"
219,275,"[857554, 825703, 962615, 924004, 918638]"
220,276,"[825317, 13512542, 847803, 5588161, 13115894]"
221,277,"[841266, 898601, 985911, 826249, 1012922]"
222,278,"[871514, 881119, 891505, 1080677, 1070719]"
223,279,"[1082212, 12731470, 1133893, 858999, 1068669]"
224,280,"[9416729, 12731544, 978376, 1097849, 958594]"
225,281,"[1018050, 1099905, 934369, 1017313, 934399]"
226,282,"[6464074, 998557, 7166845, 5571261, 7168129]"
227,283,"[1125601, 984680, 7409644, 1108094, 5591609]"
228,285,"[1013389, 878739, 9270796, 10285303, 1064574]"
229,286,"[1115069, 1120361, 5571541, 8015407, 1109370]"
230,287,"[837647, 9297310, 1075275, 10204440, 9297055]"
231,288,"[841309, 1054539, 1005456, 932179, 928092]"
232,289,"[1125497, 923528, 1042765, 1050082, 12384177]"
233,290,"[873964, 9420312, 995230, 947798, 838797]"
234,291,"[1120213, 911311, 9297055, 1108131, 1031740]"
235,292,"[9420312, 827683, 961730, 1009821, 856455]"
236,293,"[866528, 1014238, 13008334, 842455, 9553382]"
237,294,"[9245108, 983936, 1088683, 932949, 832661]"
238,297,"[10285373, 915459, 853622, 1043920, 1095040]"
239,300,"[989935, 908856, 1005107, 6039859, 1025581]"
240,301,"[898510, 12757280, 1015474, 923849, 9837153]"
241,302,"[1045220, 983753, 10455568, 907308, 1082090]"
242,303,"[1082141, 6534074, 935770, 9487613, 822225]"
243,304,"[868764, 6979753, 1100658, 1056267, 13213271]"
244,305,"[1031083, 885290, 1133850, 941532, 943233]"
245,306,"[1049735, 838940, 1069003, 7467039, 878442]"
246,307,"[1074040, 1065259, 1019637, 877447, 1082172]"
247,308,"[887102, 821741, 1049906, 911401, 963835]"
248,311,"[1110111, 10456613, 855916, 984140, 976114]"
249,314,"[1053628, 882308, 820486, 979523, 877723]"
250,316,"[859154, 980666, 869903, 1125891, 934369]"
251,317,"[842783, 953539, 1099905, 881154, 825170]"
252,318,"[7025203, 1134522, 995230, 7442007, 999621]"
253,319,"[1019247, 935993, 944526, 853197, 1034955]"
254,320,"[872382, 1069003, 837270, 1072693, 866355]"
255,321,"[905436, 1116050, 830203, 5580166, 976114]"
256,322,"[909472, 906309, 8090556, 6533394, 7467081]"
257,324,"[1057260, 1112667, 920002, 1087081, 9677466]"
258,325,"[5590661, 870871, 1076954, 965679, 1039876]"
259,326,"[8090521, 1110572, 8090537, 1137346, 1025581]"
260,328,"[821083, 1028473, 1048257, 12525270, 972191]"
261,329,"[934369, 831125, 943393, 977497, 1061614]"
262,331,"[5565322, 5569135, 1103752, 1044188, 5565664]"
263,332,"[1056267, 7160185, 13842214, 13512737, 6464165]"
264,334,"[826144, 1064280, 9526572, 1094562, 1123536]"
265,335,"[1041259, 1006483, 5995626, 13002975, 1005456]"
266,338,"[819840, 1015375, 887219, 1015296, 9297062]"
267,339,"[1027102, 1031492, 6533936, 1122732, 851819]"
269,342,"[940023, 1123536, 938554, 824193, 918688]"
270,343,"[1012052, 987571, 1098435, 1092588, 6979427]"
271,345,"[6602697, 9833335, 1048483, 856788, 1010051]"
272,346,"[9245108, 903019, 1101010, 1083446, 962615]"
274,348,"[853124, 8359154, 978129, 887234, 1006555]"
275,349,"[844179, 960791, 1011300, 1044078, 916122]"
276,350,"[940023, 834103, 1085604, 1082269, 13190349]"
277,351,"[8020166, 13842214, 1052155, 13842090, 894439]"
278,353,"[6978886, 13008321, 1015694, 13907063, 9677486]"
279,354,"[1030182, 866292, 860703, 1008814, 1071733]"
280,356,"[1049735, 947798, 1086119, 1082310, 1073150]"
281,357,"[891516, 909800, 867447, 1133893, 1098485]"
282,358,"[12757544, 5568489, 949294, 937626, 833458]"
283,360,"[8181495, 1138189, 825703, 889649, 7025114]"
284,361,"[826249, 960984, 907308, 898601, 917033]"
285,362,"[1128395, 1081533, 1126045, 937454, 900697]"
287,365,"[1136719, 1062128, 1028238, 5566309, 949784]"
288,367,"[823775, 1047769, 1135096, 1076769, 1031864]"
289,368,"[1061747, 956125, 882308, 9881593, 940023]"
290,371,"[6533608, 919423, 941368, 928123, 1094107]"
291,374,"[879755, 1015296, 12524016, 1108094, 6979393]"
292,375,"[1058021, 1044895, 1029504, 8090532, 8090537]"
293,376,"[1061220, 1076875, 995055, 923208, 873324]"
294,377,"[1094924, 994223, 1003616, 9338009, 945139]"
295,378,"[904833, 916990, 954642, 13213475, 8119318]"
296,380,"[1098284, 1069863, 935570, 1090706, 8119129]"
297,381,"[1075368, 1019247, 1079482, 878715, 1031065]"
298,382,"[999250, 823862, 1125278, 881883, 9364612]"
299,384,"[1061394, 1068957, 999090, 869868, 8019977]"
300,385,"[1057260, 909472, 1124971, 878715, 1006906]"
301,386,"[977499, 1088191, 1139023, 954997, 956125]"
302,387,"[902856, 9925966, 1009719, 9832529, 925694]"
303,388,"[1029504, 5591609, 820612, 13213015, 881154]"
304,389,"[13115981, 996795, 891632, 10344585, 1019942]"
305,390,"[1058243, 888543, 1072693, 1064542, 894439]"
306,392,"[1028473, 963835, 992150, 1092588, 964853]"
307,393,"[10457128, 972312, 963686, 901205, 1103808]"
308,394,"[833598, 1053988, 6391381, 825118, 6463520]"
309,395,"[834129, 1093030, 1070076, 1104604, 1106073]"
310,396,"[834103, 879031, 1131384, 5567148, 1010424]"
311,397,"[13842214, 892573, 6904613, 931255, 9297319]"
312,398,"[871513, 901976, 992985, 1089066, 1134483]"
314,400,"[5567702, 5566235, 12695874, 1049735, 1129300]"
315,401,"[827683, 942166, 6396492, 861499, 7025046]"
316,402,"[13842090, 13842214, 1007911, 853448, 1042571]"
317,403,"[10344971, 1130375, 901460, 10344585, 12812261]"
318,404,"[9392953, 1092588, 948239, 1108152, 1088771]"
319,405,"[13842088, 1070076, 948670, 974156, 1012052]"
320,406,"[910309, 834303, 6919354, 1020156, 823775]"
321,408,"[995276, 862799, 1112824, 872062, 1049735]"
322,409,"[1038443, 13007600, 856345, 852572, 9522352]"
323,410,"[1096066, 12731467, 9835619, 901976, 850925]"
324,411,"[9677874, 852181, 1046047, 911338, 909800]"
325,412,"[1012052, 13654702, 5570406, 939527, 1139569]"
326,413,"[970160, 1048257, 5568606, 1038985, 827999]"
327,414,"[872066, 1085333, 850652, 1014999, 5565719]"
328,415,"[864893, 995242, 1133018, 1126899, 1070820]"
329,417,"[1002261, 1008675, 995276, 9677670, 866828]"
330,418,"[852360, 13190349, 12385477, 1022340, 9677466]"
331,419,"[928754, 1102416, 1114605, 1071759, 935993]"
333,421,"[9803483, 1031864, 1088191, 859987, 1066893]"
334,424,"[9803591, 897083, 9802756, 868588, 1088429]"
335,425,"[1134143, 969419, 1039627, 822407, 870428]"
336,426,"[1088544, 899682, 14106445, 1130111, 834129]"
337,427,"[12673354, 893501, 948670, 1054539, 1102416]"
338,430,"[10456015, 1089705, 843744, 1062095, 1006483]"
339,431,"[10198378, 1092937, 1109370, 908504, 7166861]"
340,432,"[1089766, 10457128, 1027773, 6979579, 1043895]"
341,433,"[849003, 6979518, 998373, 960791, 8090560]"
342,434,"[1096099, 845109, 1046587, 837751, 7166672]"
343,435,"[8090537, 1075368, 929726, 1004906, 1053690]"
344,436,"[878764, 1039239, 934399, 1038325, 988843]"
345,437,"[9803684, 1022984, 1135932, 828219, 8119318]"
346,438,"[873902, 9881593, 962991, 999599, 1014802]"
347,439,"[1037840, 870515, 1136524, 989824, 1086119]"
348,441,"[1038985, 6533681, 1124971, 1001412, 906844]"
349,442,"[879755, 1125391, 962615, 1011926, 1136654]"
350,443,"[1057260, 1110983, 1065331, 873056, 1128464]"
351,445,"[1006878, 852235, 849578, 947211, 1103513]"
353,447,"[1057260, 1036419, 937626, 999971, 987571]"
354,448,"[1128016, 9835695, 7166861, 1058997, 868764]"
355,449,"[9934800, 1078763, 982790, 1063907, 1048462]"
356,450,"[13842214, 13842090, 922907, 905539, 863762]"
357,451,"[999189, 908314, 1049922, 1109014, 859987]"
359,454,"[6463752, 6464208, 913814, 1083787, 1079023]"
360,456,"[1017363, 1118547, 1083856, 901916, 852180]"
361,457,"[1065122, 13003094, 1086483, 1135468, 9469110]"
362,458,"[828588, 910439, 1027372, 1060912, 10456404]"
363,459,"[885290, 844165, 972312, 863762, 934369]"
364,460,"[873887, 885939, 862732, 963835, 7025106]"
365,461,"[918684, 997907, 10344585, 886703, 1029504]"
366,462,"[1106073, 928589, 955921, 1011926, 891632]"
367,463,"[1036093, 1055504, 891516, 838797, 5566717]"
368,464,"[6039994, 12599601, 1012584, 1103562, 841266]"
369,466,"[1025611, 895652, 918368, 1072523, 989069]"
370,467,"[9296804, 6979089, 12384689, 12384601, 911470]"
371,468,"[1098284, 1131506, 883912, 1073506, 827683]"
372,469,"[1098435, 972437, 1005849, 907392, 857262]"
373,470,"[908314, 871633, 6463520, 930385, 9245108]"
376,473,"[1053016, 1019247, 825170, 1035207, 1060374]"
377,474,"[1088683, 1031083, 838739, 1038462, 1038325]"
378,475,"[9655212, 839208, 941183, 907392, 1078666]"
379,476,"[845193, 1095227, 1056847, 1002261, 951339]"
381,479,"[1085604, 839262, 1001845, 864893, 888111]"
382,480,"[1047769, 854754, 5563693, 1015694, 842630]"
383,481,"[1074283, 868764, 1050741, 878676, 1096727]"
385,483,"[12731470, 929628, 1052729, 956125, 821134]"
386,484,"[1111129, 1054644, 6514287, 1009769, 13381928]"
387,485,"[7166861, 837579, 845193, 7168431, 12731470]"
388,486,"[837270, 1061220, 951590, 1068343, 1122358]"
389,487,"[1126899, 1092264, 984575, 862682, 952317]"
391,489,"[13842088, 893042, 1019247, 914012, 858743]"
392,490,"[12183644, 13512017, 9487534, 944317, 1075368]"
393,491,"[838940, 6533936, 853197, 1039927, 852690]"
394,493,"[834103, 1001017, 1120362, 835634, 1093697]"
395,495,"[899201, 906443, 998236, 951164, 1116020]"
396,496,"[999270, 823990, 944534, 8090532, 1067606]"
397,497,"[1012913, 5567148, 12428210, 1065303, 965530]"
398,498,"[1005172, 1072693, 1028891, 849697, 961846]"
399,501,"[878222, 932949, 6396492, 995242, 1090286]"
400,502,"[1135868, 901976, 1038462, 873754, 920367]"
401,503,"[971983, 1073150, 1127716, 835296, 1072693]"
402,505,"[962991, 1010190, 1014802, 8090521, 1070820]"
403,506,"[1049372, 1076608, 909338, 13671735, 921438]"
404,507,"[9670915, 1036501, 857554, 839094, 1044259]"
405,510,"[1036501, 881436, 9837807, 1131115, 1112205]"
406,511,"[879755, 7433029, 1071171, 1116635, 1006664]"
408,513,"[1093413, 865026, 1119089, 1117690, 898121]"
409,514,"[923169, 852235, 1126786, 13381458, 835595]"
410,515,"[5580166, 861792, 1038462, 6533368, 1139303]"
411,517,"[888233, 887234, 1107973, 13417846, 1014054]"
412,518,"[952408, 862732, 1038985, 961730, 1090676]"
413,519,"[888586, 942166, 1071446, 917249, 962266]"
414,520,"[1104343, 7082640, 1039505, 5565322, 906763]"
415,521,"[1056212, 8205218, 891061, 8090440, 835243]"
416,523,"[1110572, 13842214, 1057260, 970861, 13842090]"
417,524,"[1018050, 7409918, 888586, 12263857, 9297310]"
418,525,"[1124971, 1082269, 9832514, 910207, 853448]"
419,526,"[8090556, 931688, 7169088, 12263463, 1043726]"
420,527,"[6514259, 955075, 5567582, 1011926, 1035788]"
421,528,"[1070820, 1039672, 1121393, 981760, 904422]"
422,530,"[849697, 1131506, 7409618, 1137694, 926796]"
424,534,"[993466, 855718, 1130111, 5591894, 1055915]"
425,536,"[7025044, 992985, 1065331, 1071759, 844759]"
426,537,"[1116635, 1057260, 902659, 937626, 1124971]"
427,538,"[12352204, 1082212, 871754, 999076, 867447]"
428,539,"[923746, 981760, 1126899, 878715, 916122]"
429,540,"[1000237, 1087753, 5569993, 941472, 12384779]"
430,541,"[1096066, 1060408, 1002261, 6039994, 1020739]"
431,542,"[824796, 1089108, 1082990, 835619, 1075786]"
432,543,"[879734, 886481, 820486, 989409, 996955]"
433,544,"[1085604, 995895, 5567428, 836085, 941183]"
434,545,"[1070076, 13381458, 949742, 851865, 7443013]"
435,548,"[824073, 1098435, 1012913, 1121213, 970028]"
437,551,"[13842088, 12298966, 1011926, 13381584, 961003]"
438,553,"[1036501, 842416, 1017254, 1030362, 1009361]"
439,554,"[1072086, 1069103, 1135681, 1011920, 9268043]"
440,557,"[905436, 846634, 1135932, 819330, 1022984]"
441,558,"[983096, 1044068, 891061, 833724, 1048462]"
442,560,"[978343, 5592232, 831181, 1117569, 999621]"
443,561,"[893042, 914012, 5567148, 9707137, 831407]"
444,562,"[957951, 901470, 1115069, 891463, 907957]"
445,564,"[1039505, 1079338, 893221, 10285144, 906335]"
446,567,"[1089766, 824502, 877662, 1076875, 975092]"
447,568,"[905817, 15717057, 5572738, 1099905, 1104649]"
448,569,"[1028473, 921406, 981677, 6391080, 12428017]"
450,573,"[1082212, 1009361, 1098284, 1028891, 1069039]"
451,574,"[978906, 1059922, 891505, 1024032, 826952]"
452,575,"[953561, 897270, 855718, 1011920, 912004]"
453,577,"[841266, 1110244, 1020739, 889989, 823687]"
454,578,"[847207, 1006483, 13008321, 1068576, 942166]"
455,579,"[948670, 13842088, 993466, 1037892, 970455]"
456,580,"[1118946, 966348, 887342, 917438, 7167967]"
457,581,"[988136, 989935, 983795, 1034413, 6464165]"
458,582,"[1021324, 920455, 5576075, 1082311, 841236]"
459,583,"[1076306, 8020166, 1135468, 845091, 901557]"
460,585,"[1073150, 970605, 1036501, 5568072, 837579]"
461,586,"[980666, 906335, 887393, 921614, 937928]"
462,587,"[911470, 1070820, 919427, 864312, 890695]"
463,588,"[5580793, 896611, 1056746, 866355, 916654]"
464,590,"[1075175, 827683, 1031083, 1139216, 936889]"
465,591,"[1067820, 1065017, 935993, 926905, 857538]"
466,592,"[1078666, 9707498, 977481, 1139702, 896611]"
467,593,"[1104027, 846760, 984575, 15717057, 988116]"
468,594,"[872062, 1091158, 1093603, 969419, 845163]"
469,595,"[928263, 8019396, 1013389, 1038462, 5567292]"
470,596,"[1025581, 879734, 12731621, 1084036, 1115069]"
471,597,"[6463986, 12524067, 942166, 9523059, 978974]"
472,598,"[986187, 9553382, 858711, 8091554, 1099802]"
474,600,"[6463986, 1110483, 12731544, 1102829, 13910163]"
475,601,"[1037332, 1090317, 1021715, 9553170, 12330794]"
476,602,"[833940, 1021116, 1094723, 995916, 882308]"
477,603,"[1069003, 1135468, 992650, 1080601, 836090]"
478,604,"[900586, 6979545, 834129, 914577, 1007279]"
479,605,"[993441, 15926507, 1027372, 13133916, 943349]"
480,606,"[1018083, 1036930, 1095944, 848107, 1025468]"
481,608,"[1038462, 6979753, 9655528, 961730, 977508]"
482,609,"[903529, 1015974, 1107553, 914754, 1058021]"
484,611,"[1079528, 1048483, 904521, 1118946, 1065979]"
485,612,"[943233, 1082454, 1103476, 15741861, 826695]"
486,614,"[1039781, 975633, 1054539, 982955, 7409918]"
487,615,"[995242, 986912, 12731544, 8090537, 1007512]"
488,617,"[10345155, 970725, 5572828, 1083208, 1006250]"
489,618,"[1037840, 1089766, 934427, 1115971, 8249227]"
490,621,"[1112825, 1013999, 6919354, 869900, 960528]"
491,622,"[895680, 878715, 866548, 927030, 1098284]"
492,623,"[934427, 999971, 1104349, 896974, 935993]"
493,624,"[9881948, 953104, 1023546, 865992, 830935]"
494,625,"[1103741, 1047486, 8203451, 1042571, 1021715]"
495,627,"[9245312, 1125724, 1069003, 954642, 9526448]"
496,628,"[1075786, 963365, 6979545, 9831557, 1131310]"
497,630,"[6464147, 1106271, 1138631, 905072, 880895]"
498,631,"[899682, 822646, 841309, 8119301, 1135096]"
